time,site,easting,northing,Year,richness,ca1.score
t1,S1456,340298,228218,1992,11,-0.560397705
t1,S1457,346818,232747,1991,14,-0.299781441
t1,S1457,346818,232747,1992,20,0.063937036
t1,S1458,346473,232720,1991,16,-0.895557029
t1,S1458,346473,232720,1992,13,-0.734665717
t1,S1459,333540,223280,1991,28,0.664319519
t1,S1459,333540,223280,1992,30,0.606441252
t1,S1460,332766,228749,1992,30,0.688855546
t1,S1461,355950,218394,1991,11,-0.426863746
t1,S1461,355950,218394,1992,18,0.211025146
t1,S1462,358799,220540,1991,12,-0.529994887
t1,S1462,358799,220540,1992,12,-0.328340059
t1,S1463,359587,224517,1991,12,-0.61355586
t1,S1463,359587,224517,1992,11,-0.70749537
t1,S1464,364162,225735,1991,12,-0.605413313
t1,S1464,364162,225735,1992,17,-0.032746667
t1,S1465,359680,231100,1991,13,-0.306122207
t1,S1465,359680,231100,1992,18,0.033302266
t1,S1466,356806,237431,1991,22,-0.321512711
t1,S1466,356806,237431,1992,32,-0.047492619
t1,S1467,352916,244612,1992,30,-0.378574113
t1,S1468,357122,237352,1991,15,0.173578077
t1,S1468,357122,237352,1992,19,-0.089681329
t1,S1469,356488,239191,1991,14,-0.19895642
t1,S1469,356488,239191,1992,18,-0.27427478
t1,S1470,365010,255631,1991,14,-0.346232708
t1,S1470,365010,255631,1992,20,-0.16430063
t1,S1471,361845,249374,1991,20,-0.108622735
t1,S1471,361845,249374,1992,20,0.015378287
t1,S1472,365720,255050,1991,12,-0.436990855
t1,S1472,365720,255050,1992,18,-0.372029815
t1,S1473,353265,241844,1991,16,-1.038971213
t1,S1473,353265,241844,1992,9,-0.977687941
t1,S1474,355304,244377,1991,9,-0.114956389
t1,S1474,355304,244377,1992,13,-0.523264688
t1,S1475,355345,244381,1991,10,-0.604940016
t1,S1475,355345,244381,1992,13,-0.926961366
t1,S1476,353054,243752,1991,15,-0.891679884
t1,S1476,353054,243752,1992,17,-0.901062347
t1,S1477,350022,248145,1991,12,-0.650183465
t1,S1477,350022,248145,1992,20,-0.394015017
t1,S1478,352069,252818,1991,16,-0.222407171
t1,S1478,352069,252818,1992,19,-0.172511262
t1,S1479,341611,258807,1992,28,0.329545346
t1,S1480,331630,257260,1991,21,0.442690101
t1,S1480,331630,257260,1992,22,-0.060768315
t1,S1481,328000,255130,1992,24,0.660833858
t1,S1482,343900,254950,1991,19,-0.907477277
t1,S1482,343900,254950,1992,22,-0.684490539
t1,S1483,343902,255179,1991,20,-0.935334892
t1,S1483,343902,255179,1992,18,-1.136133146
t1,S1484,338990,258440,1991,18,0.291220987
t1,S1484,338990,258440,1992,25,0.03736671
t1,S1485,350140,259540,1991,23,0.053381679
t1,S1485,350140,259540,1992,24,0.122507186
t1,S1486,350140,259730,1991,25,-0.452256319
t1,S1486,350140,259730,1992,24,-0.550880773
t1,S1487,344066,260863,1991,14,-0.13189213
t1,S1487,344066,260863,1992,21,-0.209516031
t1,S1488,340574,260503,1992,12,0.109044294
t1,S1489,334501,263432,1991,23,0.290973332
t1,S1489,334501,263432,1992,24,0.330913137
t1,S1490,352196,239357,1991,9,-0.939005698
t1,S1490,352196,239357,1992,16,-0.518961789
t1,S1491,349154,241447,1991,18,-0.548640778
t1,S1491,349154,241447,1992,22,-0.841460973
t1,S1492,345581,239255,1991,17,-0.004697129
t1,S1493,333754,246486,1991,10,-0.875438952
t1,S1494,332741,247132,1991,8,-0.404464082
t1,S1495,331256,247354,1991,7,-0.538951569
t1,S1496,323034,242776,1992,33,0.400984338
t1,S1497,320237,240587,1992,23,0.860545643
t1,S1498,317795,238903,1991,16,0.544568247
t1,S1498,317795,238903,1992,27,0.3505055
t1,S1499,315230,235190,1991,20,0.486744972
t1,S1499,315230,235190,1992,28,0.598257837
t1,S1500,312775,228050,1991,19,-0.035056269
t1,S1500,312775,228050,1992,23,-0.230129058
t1,S1501,314879,234427,1991,20,0.485603268
t1,S1501,314879,234427,1992,25,0.604997155
t1,S1502,311260,241430,1992,26,0.750165558
t1,S1503,310581,242823,1991,25,0.791448976
t1,S1503,310581,242823,1992,27,0.750690897
t1,S1504,309700,243020,1991,17,0.988403591
t1,S1504,309700,243020,1992,21,0.866532422
t1,S1505,307700,246970,1991,21,0.913947838
t1,S1505,307700,246970,1992,30,0.641427368
t1,S1506,306156,250850,1992,24,0.877719411
t1,S1507,303320,251470,1991,25,0.817262026
t1,S1507,303320,251470,1992,20,1.132876069
t1,S1508,299257,250754,1992,25,0.55249122
t1,S1509,303150,251250,1991,19,0.990206232
t1,S1509,303150,251250,1992,22,0.778029351
t1,S1510,294930,249470,1992,20,1.166863186
t1,S1511,293459,247316,1991,21,1.081921163
t1,S1511,293459,247316,1992,23,1.00144468
t1,S1512,291832,246905,1992,28,0.877931653
t1,S1513,301930,257300,1991,17,0.575183055
t1,S1513,301930,257300,1992,21,0.423431502
t1,S1514,311286,264365,1992,24,0.566761018
t1,S1515,303611,258948,1991,16,0.585361305
t1,S1515,303611,258948,1992,20,0.714675128
t1,S1516,308380,265030,1991,20,0.900902395
t1,S1516,308380,265030,1992,32,0.735030909
t1,S1517,311657,265528,1992,22,0.63922123
t1,S1518,296550,265670,1991,17,0.947471925
t1,S1518,296550,265670,1992,22,0.692549245
t1,S1519,290252,271575,1991,9,1.411404284
t1,S1519,290252,271575,1992,13,0.737238553
t1,S1520,293050,264800,1991,7,1.400224996
t1,S1520,293050,264800,1992,7,1.447163247
t1,S1521,295253,271480,1992,24,0.90011874
t1,S1522,289359,280302,1991,11,1.31005472
t1,S1522,289359,280302,1992,15,1.000190163
t1,S1523,284000,282600,1991,9,1.09791261
t1,S1523,284000,282600,1992,10,1.085359732
t1,S1524,338562,196888,1991,24,0.010286172
t1,S1524,338562,196888,1992,31,0.346145844
t1,S1524,338562,196888,1993,31,0.337579692
t1,S1525,334712,205657,1992,27,0.157209575
t1,S1525,334712,205657,1993,23,0.515613472
t1,S1526,330586,210985,1991,17,0.566054779
t1,S1526,330586,210985,1992,17,0.596248562
t1,S1526,330586,210985,1993,20,0.690679466
t1,S1527,329246,213908,1992,27,0.431622106
t1,S1527,329246,213908,1993,24,0.512517311
t1,S1528,324086,216258,1991,17,0.816881449
t1,S1528,324086,216258,1992,17,0.77371875
t1,S1528,324086,216258,1993,20,0.897566286
t1,S1529,306312,227720,1992,27,0.734344596
t1,S1529,306312,227720,1993,26,0.730148437
t1,S1530,294730,229560,1992,18,0.485507938
t1,S1530,294730,229560,1993,21,0.786817732
t1,S1531,333000,192420,1991,8,-0.39023924
t1,S1531,333000,192420,1992,12,-0.482032872
t1,S1531,333000,192420,1993,13,0.109174828
t1,S1532,329890,197300,1991,9,-0.144405014
t1,S1532,329890,197300,1992,6,-0.385445652
t1,S1532,329890,197300,1993,12,0.307845807
t1,S1533,329120,200420,1991,12,0.362659029
t1,S1533,329120,200420,1992,20,0.498489646
t1,S1533,329120,200420,1993,16,0.376810774
t1,S1534,327500,201870,1991,11,0.45366927
t1,S1534,327500,201870,1992,23,0.206777534
t1,S1534,327500,201870,1993,17,0.401422345
t1,S1535,326971,206379,1991,8,0.212174779
t1,S1535,326971,206379,1992,14,-0.10049339
t1,S1535,326971,206379,1993,12,0.027279249
t1,S1536,330950,192808,1991,15,-0.545208363
t1,S1536,330950,192808,1992,11,-0.25537046
t1,S1536,330950,192808,1993,16,-0.129271405
t1,S1537,326013,201197,1991,7,0.136836252
t1,S1537,326013,201197,1992,12,0.563729696
t1,S1537,326013,201197,1993,8,-0.164281034
t1,S1538,326509,201712,1991,17,0.6173933
t1,S1538,326509,201712,1992,23,0.613958579
t1,S1538,326509,201712,1993,24,0.504359394
t1,S1539,338458,201068,1991,23,0.026295135
t1,S1539,338458,201068,1992,27,0.22676731
t1,S1539,338458,201068,1993,36,0.143299793
t1,S1540,342006,204019,1991,22,0.08308862
t1,S1540,342006,204019,1992,29,0.138787996
t1,S1540,342006,204019,1993,30,0.203235223
t1,S1541,336552,201960,1991,19,0.014356909
t1,S1541,336552,201960,1992,21,-0.063536985
t1,S1541,336552,201960,1993,30,0.295006779
t1,S1542,334450,205630,1992,27,0.384646829
t1,S1542,334450,205630,1993,20,0.352494164
t1,S1543,330020,213590,1991,23,0.024423764
t1,S1543,330020,213590,1992,20,-0.003686577
t1,S1543,330020,213590,1993,21,0.187366166
t1,S1544,324540,214580,1991,16,0.633080579
t1,S1544,324540,214580,1992,18,0.346611671
